Sucursal,Ubicaci�n,Comuna,Marca,Modelo,Versi�n,A�o,Kilometraje,Segmento,Transmision,Combustible,Placa Patente,Color Exterior,Precio Lista,Link,
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , �u�oa,OPEL,GRANDLAND X,GRANDLAND LIMITED 1.5 TD AT8,2021,80459,Suv,Automatico,Diesel,PYBG92,ROJO DARK RUBY RED,16280000,www.pompeyo.cl/usados/PYBG92
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,GAC GONOW,GS8,GS8 2.0 T GT AT,2023,33875,Suv,Automatico,Gasolina,SZPT76,NEGRO,19180000,www.pompeyo.cl/usados/SZPT76
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,MG,GT,MG GT 1.5 CVT COM,2022,63114,Sedan,Automatico,Gasolina,RZJX59,GRIS GRAFITO,11180000,www.pompeyo.cl/usados/RZJX59
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,MG,GT,GT 1.5 DLX DCT AT,2023,28322,Sedan,Automatico,Gasolina,SHKV50,NEGRO,12180000,www.pompeyo.cl/usados/SHKV50
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,MG,GT,GT 1.5 COM MT,2025,290,Sedan,Mecanico,Gasolina,VJJX31,GRIS GRAFITO,11780000,www.pompeyo.cl/usados/VJJX31
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , �u�oa,MG,GT,GT 1.5 COM MT,2023,29446,Sedan,Mecanico,Gasolina,SKKW11,AZUL METALIZADO,10180000,www.pompeyo.cl/usados/SKKW11
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,GREAT WALL,H6,1.5 LUXURY 4X2 5P MT,2019,64871,Suv,Mecanico,Gasolina,LSPD77,GRIS,10380000,www.pompeyo.cl/usados/LSPD77
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,HAVAL,HAVAL H6,H6 TURBO DCT 2.0 AUT,2023,23294,Suv,Mecanico,Gasolina,STVL89,ROJO GRANATE,16880000,www.pompeyo.cl/usados/STVL89
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,HONDA,HR-V,HR-V LX 1.5 AUT,2024,24008,Suv,Automatico,Gasolina,TRDL10,GRIS,21080000,www.pompeyo.cl/usados/TRDL10
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , �u�oa,MG,HS,NEW MG HS 1.5T DCT TROPHY,2024,11278,Suv,Automatico,Gasolina,TLBB25,AZUL METALIZADO,13180000,www.pompeyo.cl/usados/TLBB25
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,MG,HS,NEW MG HS 1.5T DCT TROPHY,2024,18106,Suv,Automatico,Gasolina,TLBC12,AZUL METALIZADO,14680000,www.pompeyo.cl/usados/TLBC12
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,SUBARU,IMPREZA,IMPREZA 2.0 AWD SPORT LIMITED EYESIGHT AT 4X4,2023,62817,Sedan,Automatico,Gasolina,SHRG28,BLANCO CRISTAL PERLADO,21480000,www.pompeyo.cl/usados/SHRG28
AUTOSHOPPING,av. Departamental 4500,Macul,SUZUKI,JIMNY,JIMNY 1.5 GL MT 4X4,2024,49591,Jeep,Mecanico,Gasolina,TJXK43,PLATEADO PLATA,17480000,www.pompeyo.cl/usados/TJXK43
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,HAVAL,JOLION,JOLION 1.5 DELUXE AT,2024,7699,Suv,Automatico,Gasolina,TBVR18,BLANCO TITANIO,16380000,www.pompeyo.cl/usados/TBVR18
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,JAC,JS4,JS4 1.6 COMFORT BICOLOR M,2023,34231,Suv,Mecanico,Gasolina,SJLF68,ROJO NEGRO,10380000,www.pompeyo.cl/usados/SJLF68
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,KIA MOTORS,K3 CROSS,K3 CROSS EX 1.6L 6AT FULL,2025,24947,Sedan,Automatico,Gasolina,TTDZ82,GRIS ACERO,19780000,www.pompeyo.cl/usados/TTDZ82
AUTOSHOPPING,av. Departamental 4500,Macul,KIA MOTORS,K3 CROSS,K3 CROSS EX 1.6L 6MT FULL,2024,28253,Sedan,Mecanico,Gasolina,TKVP43,NEGRO AURORA,18280000,www.pompeyo.cl/usados/TKVP43
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,KICKS,KICKS 1.6 ADVANCE MT,2024,24180,Suv,Mecanico,Gasolina,TPZB22,GRIS METALICO,15480000,www.pompeyo.cl/usados/TPZB22
AUTOSHOPPING,av. Departamental 4500,Macul,RENAULT,KWID,KWID 1.0 HB ZEN MT,2024,22562,CityCar,Mecanico,Gasolina,TGHJ92,GRIS ESTRELLA,7580000,www.pompeyo.cl/usados/TGHJ92
